##=====================---------------------------------=======================#
##===----                  pre-anniversary wordsigns                    ----===#
##=====================---------------------------------=======================#
#  from gregg.angelfishy.net
#    word signs summaried in a table from the pre-anniversary manual
#    also from pre-aniversary reporting book

# english   = dictionary spelling
# gregg     = specialized gregg outline spelling
# rf        = reference work
#    pm     : pre-anniversary manual
#    pr     : pre-anniversary reporters manual
#    sd     : simplified dictionary
# pgs       = page in reference work
# t         = w=wordsign, p=phrase, -=normal
# d         = difficulty to write (simple, moderate, hard)
# s         = simplification (*=made harder by simplified, -=consistent)
# -
# -
# co        = commonality (01=top100, 05=top500, 10=top1000, 50=top5000)
#

#-------english-------- | --------gregg--------- | rf pgs t |  d  s  -  -  co  |
skill                   | >.s.k.l                | pb 082 - |  s  *  -  -  --  |
sir                     | >.z                    | a5 003 w |  -  -  -  -  --  |
than                    | >.tn                   | a5 003 w |  -  -  -  -  --  |
that                    | >.th.a                 | a5 003 w |  -  -  -  -  --  |
them                    | >.tm                   | a5 003 w |  -  -  -  -  --  |
then                    | >.tn                   | a5 003 w |  -  -  -  -  --  |
they                    | >.th.e                 | a5 003 w |  -  -  -  -  --  |
this                    | >.th.s                 | a5 003 w |  -  -  -  -  --  |
to                      | >.t.u                  | a5 003 w |  -  -  -  -  --  |
too                     | >.t.u                  | a5 003 w |  -  -  -  -  --  |
two                     | >.t.u                  | a5 003 w |  -  -  -  -  --  |
was                     | >.o.z                  | a5 003 w |  -  -  -  -  --  |
with                    | >.e.th                 | a5 003 w |  -  -  -  -  --  |
without                 | >.e.th.t               | a5 003 w |  -  -  -  -  --  |
you                     | >.u                    | a5 003 w |  -  -  -  -  --  |
